run_id,case_id,condition,replicate,model_id,kernel_version,knowledge_mode,run_status,scientific_status,publication_readiness,protocol_validity,start_utc,end_utc,wall_seconds,agent_active_seconds,exit_reason,r1_reported,r1_recomputed,r1_definition,wr2,goof,n_reflections,resolution_angstrom,reflection_set_hash,mask_used,excluded_reflections,r1_abs_difference,raw_pipeline_replay,score_lower_bound,score_upper_bound,tool_calls,model_requests,input_tokens,output_tokens,cost_usd,human_scientific_interventions,automatic_interventions,evidence_path,plan_group,concurrent_with,early_stop_reason
r01_H1_nu1000,nu1000,H1,1,gpt-6-astra,codex-cli 0.155.0,full,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T11:23:53Z,2026-09-21T12:11:58Z,2845.1,2844.9,completed,0.0849,0.0849,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.2526,0.912,4395,1.0,52e803152c644abbfc5a52d70ce90998b439efafec3922a15e4b7a461d8f2614,True,0,0.0,n/a (HKL provided),70.0,95.0,140,,18224999,47629,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r01_H1_nu1000,pre-registered (frozen 2026-09-21 19:22),,
r02_H1_alanine,alanine,H1,1,gpt-6-astra,codex-cli 0.155.0,full,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T12:12:54Z,2026-09-21T12:42:26Z,1728.1,1728.1,completed,0.0442,0.0437,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.2001,1.222,1055,0.708,cefcd265a8e69695ac660bcad8d428e9b624cb1dde33ff6d3c2da1a9cb5a84d2,False,0,0.0005000000000000004,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),67.5,87.5,111,,14610384,29276,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r02_H1_alanine,pre-registered (frozen 2026-09-21 19:22),,
r03_C0_alanine,alanine,C0,1,gpt-6-astra,codex-cli 0.155.0,,verified,candidate_checks_passed,not_expert_reviewed,valid,2026-09-21T12:43:05Z,2026-09-21T13:25:29Z,2539.8,,completed,0.0304,0.0304,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.0727,1.075,984,0.761,03946feeed9765512373dff0dafcee68ef4f930fca5796b65461be6640b37753,False,0,0.0,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),67.5,92.5,187,,14283393,57426,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r03_C0_alanine,pre-registered (frozen 2026-09-21 19:22),,
r04_C0_nu1000,nu1000,C0,1,gpt-6-astra,codex-cli 0.155.0,,verified,partial_result,not_expert_reviewed,valid,2026-09-21T13:25:56Z,2026-09-21T14:13:28Z,2847.7,,completed,0.0827,0.0827,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.2722,0.987,4395,1.0,52e803152c644abbfc5a52d70ce90998b439efafec3922a15e4b7a461d8f2614,True,0,0.0,n/a (HKL provided),62.5,87.5,174,,10231274,75887,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r04_C0_nu1000,pre-registered (frozen 2026-09-21 19:22),,
r05_H0_nu1000,nu1000,H0,1,gpt-6-astra,codex-cli 0.155.0,tools_only,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T14:14:07Z,2026-09-21T15:00:56Z,2791.7,2791.7,completed,0.0853,0.0853,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.2563,0.913,4395,1.0,52e803152c644abbfc5a52d70ce90998b439efafec3922a15e4b7a461d8f2614,True,0,0.0,n/a (HKL provided),70.0,95.0,93,,13496600,33369,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r05_H0_nu1000,pre-registered (frozen 2026-09-21 19:22),,
r06_H0_alanine,alanine,H0,1,gpt-6-astra,codex-cli 0.155.0,tools_only,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T15:01:51Z,2026-09-21T15:28:05Z,1544.9,1544.5,completed,0.0457,0.0452,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.2047,1.271,1055,0.708,cefcd265a8e69695ac660bcad8d428e9b624cb1dde33ff6d3c2da1a9cb5a84d2,False,0,0.0005000000000000004,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),70.0,90.0,74,,10094972,27661,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r06_H0_alanine,pre-registered (frozen 2026-09-21 19:22),,
r07_P1_nu1000,nu1000,P1,1,gpt-6-astra,claude 2.1.261,,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T15:28:32Z,2026-09-21T16:13:55Z,2719.4,,completed,0.0876,0.0876,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.3161,1.021,3345,1.1,52e803152c644abbfc5a52d70ce90998b439efafec3922a15e4b7a461d8f2614,True,0,0.0,n/a (HKL provided),67.5,92.5,178,307,411,64707,9.212261500000002,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r07_P1_nu1000,pre-registered (frozen 2026-09-21 19:22),,
r08_P1_alanine,alanine,P1,1,gpt-6-astra,claude 2.1.261,,verified,candidate_checks_passed,not_expert_reviewed,valid,2026-09-21T16:14:44Z,2026-09-21T16:58:35Z,2628.5,,completed,0.0302,0.0302,"R1 for Fo > 4sig(Fo), SHELXL L.S. 0 on the delivered RES with the delivered HKL",0.0732,1.095,964,0.77,288d3ec68d949810031cc8d223136cd9261e2d070fe046543b43569e80012ba6,False,0,0.0,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),67.5,92.5,200,337,378,70113,10.048609999999998,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r08_P1_alanine,pre-registered (frozen 2026-09-21 19:22),,
r09_P1N_nu1000,nu1000,P1N,1,gpt-6-astra,claude 2.1.261,,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T17:58:44Z,2026-09-21T19:02:05Z,3779.2,,completed,0.175023,0.1785,"delivered CIF model on the delivered reflections, SHELXL with all atomic parameters fixed and the scale refined (MERG2); the RES-based zero-cycle route was not available",0.462928,2.51284,4395,,52e803152c644abbfc5a52d70ce90998b439efafec3922a15e4b7a461d8f2614,,,0.0035,n/a (HKL provided),52.5,77.5,159,300,360,100840,9.872767500000004,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r09_P1N_nu1000,pure product baselines 2026-09-22 01:40 (no crystallographic software or library at all; plain Python only),,
r10_C0N_nu1000,nu1000,C0N,1,gpt-6-astra,codex-cli 0.155.0,,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T19:02:45Z,2026-09-21T19:42:30Z,2380.3,,completed,0.196459,0.1962,"delivered CIF model on the delivered reflections, SHELXL with all atomic parameters fixed and the scale refined (MERG4); the RES-based zero-cycle route was not available",0.504361,1.741858,11289,,f22ae5ebaf6e682a6d4cba0c9837050ff43e6824e861bad3cabe301eb027d903,,,0.0003,n/a (HKL provided),52.5,77.5,63,,4691992,75656,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r10_C0N_nu1000,pure product baselines 2026-09-22 01:40 (no crystallographic software or library at all; plain Python only),,
r11_C0N_alanine,alanine,C0N,1,gpt-6-astra,codex-cli 0.155.0,,verified,diagnostic_delivery,not_expert_reviewed,valid,2026-09-21T19:43:07Z,2026-09-21T20:37:57Z,3264.6,,completed,0.032555,0.0326,"delivered CIF model on the delivered reflections, SHELXL with all atomic parameters fixed and the scale refined (MERG2); the RES-based zero-cycle route was not available",0.075063,1.310713,623,0.751,6d42d5837cdbfc8f87967e1f64171cb1bf74152aa204f3b5d2650eeaf4030f16,,,0.0,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),57.5,77.5,96,,10806071,84009,,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r11_C0N_alanine,pure product baselines 2026-09-22 01:40 (no crystallographic software or library at all; plain Python only),,
r12_P1N_alanine,alanine,P1N,1,gpt-6-astra,claude 2.1.261,,verified,partial_result,not_expert_reviewed,valid,2026-09-21T20:38:48Z,2026-09-21T21:27:21Z,2905.0,,completed,0.033364,0.0335,"delivered CIF model on the delivered reflections, SHELXL with all atomic parameters fixed and the scale refined (MERG2); the RES-based zero-cycle route was not available",0.075552,1.329337,657,0.708,6b65fae706fab78d676774bdd5c7641c7fcaf19998bda2ad0ca12b1d4da76769,,,0.0001,presence of the raw-frame processing chain is recorded; a full replay from frames was not executed (partial replay),52.5,72.5,199,319,402,87219,11.464515250000003,0,0,H:\CrystalPilot-campaigns\scxrd-agent-eval-20260921\control\runs\r12_P1N_alanine,pure product baselines 2026-09-22 01:40 (no crystallographic software or library at all; plain Python only),,
